"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","ann_cum_intensity"
1979,1.9775,5.5,11,180,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10.7413
1980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1981,2.8074,6,6,83,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.8443
1982,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1983,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1984,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1985,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1986,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1987,1.2462,13,13,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.2008
1988,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1989,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1990,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1991,0.4643,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.3214
1992,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1993,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1994,2.0328,5,5,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.1639
1995,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1996,1.127,9,9,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.143
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1998,1.6475,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.1804
1999,1.7868,6.66666666666667,20,286,14,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,12.1619666666667
2000,1.9405,10,10,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.4054
2001,1.794275,5.75,23,340,60,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,9.7504
2002,1.9153,12,12,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.9832
2003,2.7216,19,19,79,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51.7113
2004,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2005,2.7947,5,5,80,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.9737
2006,1.8024,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0119
2007,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2009,1.841,5,5,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.2052
2010,1.7714,7.5,15,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13.7106
2011,0.921,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.5261
2012,1.217,5,10,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.0851
2013,1.9684,14,14,71,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27.5582
2014,1.0625,9.66666666666667,29,294,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,10.7316666666667
2015,0.8272,5,10,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4.13605
2016,0.4738,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.3691
2017,1.1265,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.8852
2018,2.30705,6,12,183,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13.84225
2019,1.6473,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.8839
2020,1.90762,6.6,33,451,49,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,13.36536
2021,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2022,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2025,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2026,1.44,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.5203
2027,1.2573,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.2867
2028,0.8807,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.1652
2029,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2030,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2031,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2032,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2033,0.8957,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.4786
2034,1.67145,9,18,180,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15.91855
2035,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2036,1.6636,10,10,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.6359
2037,1.8537,6.5,13,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12.2051
2038,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2039,2.3127,6,6,83,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.8762
2040,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2041,1.69655,6.5,13,200,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,11.223
2042,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2043,1.41623333333333,7.66666666666667,23,300,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.7553
2044,0.7088,11.5,23,194,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9.5232
2045,2.786,7,7,86,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.5018
2046,1.6559,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.9355
2047,1.5781,29,29,97,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45.7662
2048,0.783,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.9152
2049,2.0826,5,10,180,20,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10.41285
2050,1.29273333333333,5.66666666666667,17,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,7.65526666666667
2051,1.0654,20,20,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.3081
2052,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2053,0.9499,5.66666666666667,17,300,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,5.64033333333333
2054,1.8873,18,18,94,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33.9723
2055,2.00015,15,30,173,27,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,34.43185
2056,1.86145,7,28,375,25,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,12.7989
2057,2.12056666666667,8.33333333333333,25,272,28,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17.6188
2058,2.30535,19.5,39,168,29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,47.572
2059,1.72273333333333,13.3333333333333,40,263,28,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,25.5155
2060,1.81956666666667,18.6666666666667,56,265,19,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,35.7768333333333
2061,2.28258,11.6,58,416,84,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,27.13546
2062,1.9654,8,24,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,14.4480333333333
2063,2.3109,7,7,86,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.1765
2064,2.25385,14,28,178,22,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,32.3859
2065,2.94713333333333,19.3333333333333,58,204,96,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,65.6782
2066,1.969725,12.25,49,352,48,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,25.893425
2067,1.82493333333333,6.66666666666667,40,550,50,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,12.3371666666667
2068,2.609175,12.25,49,307,93,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,28.497525
2069,1.62866,10.4,52,443,57,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,20.69296
2070,1.36715,17.5,35,178,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27.599
2071,2.1152,11.5,23,162,38,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27.2778
2072,2.528075,14,56,319,74,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,35.44785
2073,2.41305,22,88,293,98,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,58.045025
2074,2.59123333333333,9.66666666666667,29,250,50,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,26.6474666666667
2075,2.097375,12.5,50,381,19,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,28.272825
2076,1.78725,8.25,33,377,23,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,15.044225
2077,1.727225,16,64,350,50,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,40.868225
2078,2.12548,7.4,37,421,79,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,15.82546
2079,2.7663,46,46,67,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,127.2495
