"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","ann_cum_intensity"
1979,1.1214,17,17,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0634
1980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1981,1.5717,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.8584
1982,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1983,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1984,1.1411,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.7053
1985,2.6165,9,9,89,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.5486
1986,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1987,4.5293,8,8,38,62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36.2344
1988,1.0912,9,18,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10.94315
1989,2.44855,6.25,25,371,29,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,15.63875
1990,1.781125,7.5,30,392,8,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,14.341675
1991,1.5496,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.7481
1992,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1993,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1994,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1995,1.9722,18,36,161,22,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,35.62515
1996,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1998,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1999,2.057,7,14,175,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15.603
2000,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2002,0.9891,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.9455
2003,2.48115,7.5,15,170,30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,21.65425
2004,0.7104,9,9,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.394
2005,1.65705,6.5,13,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.7972
2006,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2007,2.5509,9,9,89,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22.9578
2008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2009,1.1366,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.8196
2010,3.1503,8,16,146,54,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,24.7544
2011,2.6244,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.3706
2012,3.01085,9,18,167,33,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,27.0979
2013,1.8549,16,16,75,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29.6782
2014,2.9675,8,8,88,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23.7398
2015,1.7371,6,12,186,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.91855
2016,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2017,2.6691,7,7,71,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.6839
2018,1.97285,6.5,26,400,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12.221
2019,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2020,3.282,7,7,71,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22.9742
2021,2.37966666666667,7.33333333333333,44,507,93,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,17.9592166666667
2022,2.0043,13,26,176,24,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,28.91785
2023,2.69015,9,18,162,38,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26.9386
2024,3.4392,14,42,185,102,0,13,0,1,2,0,0,0,0,0,0,0,0,0,0,58.2368333333333
2025,3.2491,12.5,25,125,75,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,41.7039
2026,2.695725,15.75,63,313,87,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,48.449625
2027,1.7674,8,24,300,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15.3628
2028,2.06283333333333,18.3333333333333,55,260,35,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,38.0387
2029,3.21863333333333,18.3333333333333,55,179,121,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,61.5217333333333
2030,2.949,19,19,84,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56.0305
2031,2.44435,25.5,51,153,29,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,85.50095
2032,3.5928,18.6666666666667,56,167,133,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,69.574
2033,1.48365,10.5,21,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16.19365
2034,3.49753333333333,26.6666666666667,80,186,101,0,13,0,1,1,0,0,0,1,0,0,0,0,0,0,123.0016
2035,3.13473333333333,30.3333333333333,91,177,101,0,15,0,0,2,0,0,0,1,0,0,0,0,0,0,110.737133333333
2036,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2037,3.4253,8.5,17,131,69,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,28.8936
2038,2.07313333333333,16,96,506,87,0,3,0,0,5,0,0,0,1,0,0,0,0,0,0,40.4409666666667
2039,2.436,17,68,329,67,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,48.666125
2040,2.3426,15,75,436,61,0,3,0,1,3,0,0,0,1,0,0,0,0,0,0,47.6905
2041,1.14955,8.5,17,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.5045
2042,3.1759,30,30,53,27,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,95.2782
2043,3.541,17,68,251,134,0,10,0,2,2,0,0,0,0,0,0,0,0,0,0,63.6275
2044,3.04425,22.5,90,250,132,0,15,0,0,3,0,0,0,1,0,0,0,0,0,0,76.19235
2045,2.3479,8,24,230,70,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,20.5309666666667
2046,2.84093333333333,12.6666666666667,38,242,38,0,21,0,0,3,0,0,0,0,0,0,0,0,0,0,48.9477
2047,3.519,13.25,53,200,193,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,54.700875
2048,2.72318,7.4,37,401,99,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,22.11154
2049,3.20583333333333,23.3333333333333,70,230,43,0,20,0,0,2,0,0,1,0,0,0,0,0,0,0,117.4319
2050,2.17443333333333,13.6666666666667,41,265,31,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,39.0516
2051,2.86405,18.25,73,290,98,0,12,0,0,3,0,0,1,0,0,0,0,0,0,0,65.209075
2052,2.792025,8.25,33,316,84,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,23.5489
2053,3.28156,18.2,91,334,153,0,13,0,1,3,0,0,0,1,0,0,0,0,0,0,67.5143
2054,1.97718333333333,8.16666666666667,49,578,22,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,17.16865
2055,3.41253333333333,9,27,157,136,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,33.6683333333333
2056,3.281175,10.25,41,267,133,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,32.265975
2057,4.2015,43,86,80,99,0,18,0,0,1,0,0,0,1,0,0,0,0,0,0,162.56965
2058,2.60665,13.75,55,314,66,0,10,0,1,2,0,0,0,1,0,0,0,0,0,0,37.825225
2059,1.9126,24,48,190,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56.1977
2060,2.79385,12.75,51,321,53,0,26,0,0,4,0,0,0,0,0,0,0,0,0,0,42.747925
2061,3.4093,24.3333333333333,73,172,122,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,93.9712666666667
2062,3.1908,20.75,83,288,104,0,8,0,1,2,0,0,1,0,0,0,0,0,0,0,86.713375
2063,2.48063333333333,12.6666666666667,38,250,50,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,42.2544
2064,3.1525,42.5,85,153,42,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,161.9253
2065,2.4853,14.5,29,161,39,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,39.25855
2066,2.587275,19.25,77,364,36,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,52.639025
2067,4.643,58.3333333333333,175,102,131,32,36,0,0,1,0,0,1,1,0,0,0,0,0,0,263.252533333333
2068,1.8839,17.3333333333333,52,270,30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,42.7415333333333
2069,3.055225,24.75,99,272,128,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,83.500725
2070,3.23415,21,84,268,125,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,67.247675
2071,2.58006666666667,20.3333333333333,61,272,28,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,59.1846
2072,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2073,2.5295,24.3333333333333,73,243,51,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,88.8599
2074,1.98073333333333,20.3333333333333,61,275,18,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,41.9708333333333
2075,2.72213333333333,31,93,245,51,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,92.6049
2076,3.1459,34.6666666666667,104,184,92,0,21,0,0,2,0,0,0,1,0,0,0,0,0,0,113.473466666667
2077,3.2481,13.25,53,260,127,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,61.095475
2078,3.30883333333333,19.3333333333333,58,195,93,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,74.7097666666667
2079,2.89424,14,70,354,123,0,22,0,0,4,0,0,0,1,0,0,0,0,0,0,50.0788
2080,3.14565,74,148,126,62,2,7,0,1,0,0,0,0,1,0,0,0,0,0,0,235.23235
2081,4.5877,130,130,31,58,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,596.3986
2082,3.08945,66,132,98,83,10,5,0,0,1,0,0,0,1,0,0,0,0,0,0,175.1264
2083,3.45154,14.8,74,331,150,0,19,0,1,4,0,0,0,0,0,0,0,0,0,0,58.0613
2084,4.2265,43.6666666666667,131,173,113,8,7,0,1,0,0,0,1,1,0,0,0,0,0,0,179.452333333333
2085,3.8053,86.5,173,83,77,27,11,0,0,1,0,0,0,1,0,0,0,0,0,0,328.5622
2086,3.45755,75,150,121,62,0,17,0,0,0,0,0,1,1,0,0,0,0,0,0,358.53595
2087,2.7275,13,13,92,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35.4573
2088,2.31345,8,16,167,33,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,19.43335
2089,3.88753333333333,36,108,175,111,0,10,0,1,2,0,0,0,0,0,0,0,0,0,0,149.4206
2090,4.33926666666667,24.3333333333333,73,185,84,0,30,0,0,2,0,0,1,0,0,0,0,0,0,0,118.623
2091,2.03195,61,122,136,31,20,13,0,0,1,0,0,0,1,0,0,0,0,0,0,200.07235
2092,3.61143333333333,40.6666666666667,122,175,109,0,14,0,0,1,0,0,1,1,0,0,0,0,0,0,162.260233333333
2093,2.5701,24.6666666666667,74,253,38,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,92.0818
2094,3.58515,79,158,116,38,23,24,0,0,1,0,0,0,1,0,0,0,0,0,0,420.94395
2095,4.5444,85,170,88,64,17,31,0,0,0,0,0,1,1,0,0,0,0,0,0,445.8767
2096,5.71355,93,186,58,55,38,49,0,0,0,0,0,1,1,0,0,0,0,0,0,511.56155
2097,2.853,41,205,335,89,26,43,0,1,2,0,0,1,0,0,0,0,1,0,0,135.18664
2098,2.4073,19,57,257,43,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,51.0626
2099,4.14075,71,142,99,83,2,13,0,0,0,0,0,1,1,0,0,0,0,0,0,296.1643
