"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","ann_cum_intensity"
1979,1.0402,15,15,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.6028
1980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1981,1.2649,9,9,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.3841
1982,0.9395,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.6976
1983,2.3523,9,9,78,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.1709
1984,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1985,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1986,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1987,1.6853,10,10,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.8529
1988,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1989,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1990,0.8313,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.1566
1991,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1992,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1993,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1994,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1995,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1996,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1998,1.9151,5,5,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.5757
1999,2.027375,6.5,26,345,55,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,14.14775
2000,1.5177,5,5,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.5885
2001,0.6873,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.1241
2002,0.9223,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.4562
2003,1.225,12,12,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.6997
2004,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2005,1.7655,6,6,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.593
2006,1.3047,7,7,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.1329
2007,0.7676,8,8,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.1404
2008,1.36655,6.5,13,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9.13055
2009,1.61695,7,14,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10.6359
2010,1.8903,5.5,11,183,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.4585
2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2012,2.27455,7.5,30,318,82,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,20.765525
2013,3.3241,7,7,43,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.2684
2014,1.2013,5.5,11,180,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6.54165
2015,1.1437,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.006
2016,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2017,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2018,1.5524,9,18,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13.2961
2019,1.6515,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.2573
2020,1.91485,6.75,27,323,63,0,14,0,1,2,0,0,0,1,0,0,0,0,0,0,13.938125
2021,0.9431,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.7153
2022,1.9185,10,20,140,60,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21.90735
2023,2.60885,8.5,17,131,69,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,22.58655
2024,2.08003333333333,9.5,57,509,84,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,18.5983
2025,2.0915,13,13,85,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27.1898
2026,2.862025,9.25,37,276,114,0,10,0,0,3,0,0,1,0,0,0,0,0,0,0,28.47055
2027,2.3782,5,5,80,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.8909
2028,2.034425,9.5,38,320,80,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,19.326725
2029,3.1275,7.33333333333333,22,177,123,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,22.5896
2030,2.56,5,10,140,60,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12.8
2031,1.7,7,21,267,33,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.8662333333333
2032,1.4948,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.4636
2033,2.07983333333333,6.66666666666667,20,238,62,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,13.6160666666667
2034,1.54355,5.5,11,183,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8.58955
2035,2.2546,17.5,70,260,114,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,39.58075
2036,2.248175,6.75,27,322,78,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14.837325
2037,2.826125,9.5,38,261,126,0,13,0,1,3,0,0,0,0,0,0,0,0,0,0,28.600575
2038,2.593075,10.375,83,614,153,0,32,0,2,4,0,0,1,1,0,0,0,0,0,0,28.54345
2039,2.39612,10.4,52,387,113,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,25.78118
2040,3.09785,11.5,23,127,65,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,34.2562
2041,1.6645,12,12,92,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.9741
2042,2.8136,17,34,141,56,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,56.2883
2043,2.3807,13,13,77,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.9486
2044,2.27765,7,28,303,97,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,15.5012
2045,2.199325,11.75,47,296,87,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,22.981125
2046,2.39706666666667,9.66666666666667,29,219,81,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,23.2937666666667
2047,2.5743,6.33333333333333,19,233,67,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,16.1097333333333
2048,2.5852,10.6666666666667,32,175,115,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,22.4892333333333
2049,1.906,14,28,141,48,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,25.1819
2050,1.46865,7,14,189,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11.20365
2051,4.22976666666667,11.6666666666667,35,108,142,0,50,0,0,3,0,0,0,0,0,0,0,0,0,0,52.6765333333333
2052,2.9461,11.75,47,234,166,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,34.25465
2053,2.266625,7.75,31,303,97,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17.35335
2054,1.6159,5,5,80,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0794
2055,2.5839,7.5,30,261,132,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,22.281225
2056,2.3453,10.3333333333333,31,206,87,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23.9145333333333
2057,2.7984,17,51,205,91,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,59.0483333333333
2058,2.7973,12.5,50,255,134,0,11,0,1,2,0,0,0,1,0,0,0,0,0,0,38.2953
2059,2.71935,34.5,69,118,66,0,8,0,0,1,0,0,0,1,0,0,0,0,0,0,82.5161
2060,3.26336666666667,16.6666666666667,50,147,149,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,50.3149
2061,1.96555,6.75,27,338,62,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13.148575
2062,1.42763333333333,11.6666666666667,35,265,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17.2662
2063,2.19283333333333,15.3333333333333,46,227,70,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,34.4729
2064,2.69563333333333,10,60,389,187,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,27.2522333333333
2065,1.7534,6,12,160,40,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.14705
2066,2.59245,12.75,51,264,108,0,14,0,1,2,0,0,0,1,0,0,0,0,0,0,32.744175
2067,2.761,14.3333333333333,43,198,102,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,43.2624333333333
2068,2.5972,49.5,99,146,35,0,13,0,0,0,0,0,1,1,0,0,0,0,0,0,158.9227
2069,3.510725,14,56,179,187,0,29,0,0,3,0,0,1,0,0,0,0,0,0,0,47.405075
2070,2.28685,8.25,33,265,127,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,18.45825
2071,2.0786,7.5,30,346,54,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,15.411325
2072,2.7564,20,60,232,59,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,58.5721333333333
2073,2.85433333333333,23.3333333333333,70,159,132,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,70.5273333333333
2074,2.97513333333333,11.3333333333333,68,370,210,0,10,0,1,4,0,0,0,1,0,0,0,0,0,0,33.0730333333333
2075,1.80335,8,16,164,36,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17.8707
2076,3.12085,28.25,113,229,141,0,20,0,0,3,0,0,1,0,0,0,0,0,0,0,90.68425
2077,1.55846666666667,21,63,256,34,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,51.2031333333333
2078,4.0508,49.5,99,89,80,2,26,0,0,1,0,0,1,0,0,0,0,0,0,0,205.02695
2079,2.4844,24.25,97,259,115,0,7,0,0,3,0,0,0,1,0,0,0,0,0,0,66.605175
2080,3.13911666666667,9.16666666666667,55,347,231,0,21,0,2,4,0,0,0,0,0,0,0,0,0,0,32.0185833333333
