"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","ann_cum_intensity"
2038,1.0969,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.7754
2039,1.514975,5.25,21,400,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7.85495
2040,2.288,12,12,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27.4564
2041,1.99585,5,10,180,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9.97925
2042,2.9268,12,24,158,42,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,38.633
2043,2.60455,8.5,17,158,42,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26.9075
2044,2.2962,8,16,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,18.2632
2045,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2046,2.995,12,12,92,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35.9399
2047,2.1088,6.66666666666667,20,300,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13.7795333333333
2048,2.7234,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.6168
2049,1.96,10,20,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20.946
2050,2.7716,7.5,15,188,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20.70785
2051,3.40666666666667,15.6666666666667,47,223,73,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,52.4088333333333
2052,1.86735,9.5,19,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17.341
2053,1.4735,8,16,191,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13.2238
2054,2.13596666666667,5,15,300,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.6797666666667
2055,3.2235,11,11,55,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35.4583
2056,2.05008,8.4,42,452,48,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,17.64494
2057,2.19853333333333,16.3333333333333,49,285,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,42.1912666666667
2058,2.1108,6.75,27,386,14,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,14.207775
2059,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2060,2.14215,8,16,180,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17.73365
2061,2.4742,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.8452
2062,2.31895,7,14,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15.5954
2063,2.23603333333333,11.6666666666667,35,290,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,28.7226
2064,2.52435,11.75,47,350,50,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,29.071975
2065,1.6517,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.9101
2066,2.433475,16.25,65,358,42,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,40.545875
2067,2.561,11.3333333333333,34,263,37,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,33.9922333333333
2068,2.474,15.6666666666667,47,265,31,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,39.4089
2069,2.2826,13.5,27,175,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,36.8585
2070,1.80675,10.5,21,187,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14.34145
2071,2.2047,13.3333333333333,40,257,43,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,32.2771333333333
2072,3.1351,12,48,310,90,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,39.5731
2073,3.00608,10.4,52,385,102,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,30.45742
2074,3.74866666666667,13,39,212,88,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,47.5576666666667
2075,1.70435,7,14,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13.06815
2076,3.063,14,70,394,101,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,45.53358
2077,2.90148,9.4,47,358,137,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,24.9554
2078,2.5165,18.6666666666667,56,274,21,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,52.7910666666667
2079,1.6631,10.3333333333333,31,277,23,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18.0683333333333
2080,2.5554,14,28,145,44,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,29.431
2081,3.28625,9.5,38,302,98,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,36.1306
2082,2.72974,15.2,76,410,71,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,39.66878
2083,3.04493333333333,22.3333333333333,67,174,102,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,67.5256666666667
2084,2.6021,12,36,245,55,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,32.3342666666667
2085,2.77076666666667,20.3333333333333,61,278,22,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,60.9213333333333
2086,1.90795,13,26,189,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,28.5473
2087,2.9841,20,60,245,49,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,64.6157666666667
2088,2.35896,14.8,74,457,43,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,37.94372
2089,2.948125,18.5,74,309,87,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,58.805625
2090,2.809,37.5,75,147,28,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,102.3548
2091,3.27485,30,60,134,61,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,98.5045
2092,2.56225,7.5,45,470,130,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,22.5963
2093,2.82716666666667,35.6666666666667,107,252,43,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,128.510366666667
2094,2.96565,20.75,83,319,67,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,60.761475
2095,2.2754,8,16,190,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20.1207
2096,3.60546666666667,8.33333333333333,25,182,118,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,29.1976
2097,3.42473333333333,30.6666666666667,92,193,95,0,6,0,0,1,0,0,1,1,0,0,0,0,0,0,115.323066666667
2098,2.7458,68,136,172,26,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,212.0576
2099,2.5728,16.25,65,337,47,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,46.7815
