"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","ann_cum_intensity"
2038,2.6906,18.6666666666667,56,161,121,0,18,0,1,2,0,0,0,0,0,0,0,0,0,0,51.7144666666667
2039,1.158,8.5,17,173,27,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11.61805
2040,1.2305,10.5,42,368,32,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,16.003075
2041,1.912,12,12,83,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.9444
2042,1.9943,13,52,277,115,0,8,0,0,2,0,0,1,1,0,0,0,0,0,0,26.1273
2043,2.05613333333333,12.3333333333333,37,209,91,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,30.092
2044,2.48476666666667,24.6666666666667,74,219,58,0,23,0,1,1,0,0,0,1,0,0,0,0,0,0,80.0027333333333
2045,2.98865,23,46,70,125,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,67.43955
2046,3.5191,80,80,32,56,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,281.53
2047,1.77342,14.4,72,406,87,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,25.23144
2048,3.42686666666667,31.6666666666667,95,114,96,0,82,0,0,1,0,0,1,1,0,0,0,0,0,0,102.6137
2049,2.82096666666667,22.3333333333333,67,156,92,20,27,0,0,2,0,0,0,1,0,0,0,0,0,0,71.6403666666667
2050,2.92526666666667,17,51,110,190,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,52.5630333333333
2051,5.1127,39.5,79,27,99,19,56,0,0,1,0,0,1,0,0,0,0,0,0,0,216.82885
2052,2.0122,14.8,74,323,169,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,33.04294
2053,3.7258,87,87,21,68,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,324.1486
2054,1.97076666666667,36.3333333333333,109,217,62,0,21,0,0,1,0,0,1,1,0,0,0,0,0,0,110.9178
