"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","ann_cum_intensity"
1979,1.1816,18.5,37,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,22.4345
1980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1981,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1982,0.8549,11,11,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.4042
1983,0.7976,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.7856
1984,0.918,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5901
1985,1.2972,15,15,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.4585
1986,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1987,1.3184,16.5,33,182,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,21.35335
1988,1.02975,10,20,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9.1452
1989,1.0152,15,15,93,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.2278
1990,0.7864,7.33333333333333,22,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6.02226666666667
1991,0.7523,7,14,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5.3312
1992,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1993,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1994,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1995,1.06503333333333,11.6666666666667,35,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,12.5642666666667
1996,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1998,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1999,1.54616666666667,13,39,224,76,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,20.1081
2000,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2001,1.36725,5,10,160,40,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6.83635
2002,1.282,7.5,15,178,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.703
2003,1.7669,11.5,23,188,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20.34775
2004,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2005,0.819175,6,24,400,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,5.147275
2006,1.7825,10,10,80,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.8254
2007,0.58175,5,10,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.9089
2008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2009,0.6945,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.5557
2010,1.35455,7.5,15,156,44,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10.56565
2011,0.7172,8,8,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.7377
2012,0.639566666666667,8,24,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5.3536
2013,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2014,0.9461,6,6,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.6769
2015,1.4675,39,39,87,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57.231
2016,1.0556,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.3338
2017,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2018,1.31785,30.5,61,186,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,42.4397
2019,0.5065,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0391
2020,1.46545,11.75,47,342,58,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,16.75465
2021,0.839325,13.75,55,400,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,13.1513
2022,1.6896,85,85,75,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,143.6197
2023,1.6367,36,72,151,46,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,60.64655
2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2025,1.502875,17.75,71,337,63,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,33.22125
2026,1.055225,14,56,385,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,15.71605
2027,1.7014,36.5,73,151,46,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,74.6319
2028,1.1612,54,54,89,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62.7031
2029,1.4305,42.5,85,164,35,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,78.44365
2030,0.85975,14.5,29,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17.56485
2031,1.2719,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.9034
2032,2.25303333333333,40.6666666666667,122,205,79,0,15,0,1,0,0,0,1,1,0,0,0,0,0,0,106.179266666667
