"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round"
2048,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,6.8813,9,9,22,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2052,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,7.774,42,42,0,83,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0
2059,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,6.5792,9,9,33,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2067,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
