"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","ann_cum_intensity"
1979,1.211,9.66666666666667,29,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,13.1539666666667
1980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1981,0.9196,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.3567
1982,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1983,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1984,0.8674,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.3369
1985,1.1536,12,12,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13.8431
1986,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1987,1.2701,12,24,191,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15.1581
1988,0.6964,14,14,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.7502
1989,0.76555,11,22,194,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9.8563
1990,0.89975,8.5,17,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.08615
1991,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1992,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1993,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1994,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1995,1.1787,7.66666666666667,23,286,14,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,8.97536666666667
1996,0.4231,5,5,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.1154
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1998,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1999,1.77933333333333,13,39,243,57,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,20.6742333333333
2000,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2001,1.26195,5,10,180,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6.30965
2002,1.08525,7,14,189,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8.79485
2003,1.7051,13,26,189,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,22.60475
2004,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2005,0.958,27,27,89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.865
2006,1.06395,8.5,17,180,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10.2874
2007,1.03585,7.5,15,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.1367
2008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2009,0.8139,11,11,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.9525
2010,1.10693333333333,6.33333333333333,19,271,29,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,7.5863
2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2012,0.832366666666667,7.66666666666667,23,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6.7271
2013,1.328,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.64
2014,1.2735,6,6,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.6413
2015,1.40065,17.5,35,180,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,25.10925
2016,1.3391,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0348
2017,0.858,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.148
2018,1.0622,23.5,47,177,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29.18095
2019,0.5141,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0848
2020,1.5764,10.5,42,335,65,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,17.2995
2021,2.04135,18.75,75,328,68,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,39.3522
2022,3.1878,27,27,41,52,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,86.0716
2023,2.0365,12.5,25,147,42,0,11,0,0,1,0,0,0,1,0,0,0,0,0,0,32.95375
2024,1.4581,17.6666666666667,53,287,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,25.0804
2025,1.88324,20.2,101,414,83,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,41.75516
2026,2.04845,14.5,29,165,35,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,33.40115
2027,1.39945,15.5,31,185,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21.8515
2028,1.70423333333333,33,99,260,33,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,59.8425666666667
2029,2.48255,49.5,99,138,62,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,124.656
2030,1.94186,22.4,112,374,115,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,41.2974
2031,1.520175,8.75,35,353,47,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,13.235525
2032,1.71945,32.5,65,165,31,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,74.87735
2033,2.11283333333333,37,111,227,73,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,85.0294333333333
2034,1.3718,15.4,77,470,30,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,25.11178
2035,2.05526666666667,24,72,218,79,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,57.2585333333333
2036,1.44253333333333,19.5,117,539,60,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,32.9329166666667
