"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","ann_cum_intensity"
1979,1.0402,15,15,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.6028
1980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1981,1.2649,9,9,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.3841
1982,0.9395,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.6976
1983,2.3523,9,9,78,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.1709
1984,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1985,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1986,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1987,1.6853,10,10,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.8529
1988,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1989,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1990,0.8313,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.1566
1991,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1992,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1993,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1994,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1995,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1996,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1998,1.9151,5,5,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.5757
1999,2.027375,6.5,26,345,55,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,14.14775
2000,1.5177,5,5,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.5885
2001,0.6873,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.1241
2002,0.9223,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.4562
2003,1.225,12,12,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.6997
2004,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2005,1.7655,6,6,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.593
2006,1.3047,7,7,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.1329
2007,0.7676,8,8,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.1404
2008,1.36655,6.5,13,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9.13055
2009,1.61695,7,14,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10.6359
2010,1.8903,5.5,11,183,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.4585
2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2012,2.27455,7.5,30,318,82,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,20.765525
2013,3.3241,7,7,43,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.2684
2014,1.2013,5.5,11,180,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6.54165
2015,1.1437,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.006
2016,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2017,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2018,1.5524,9,18,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13.2961
2019,1.6515,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.2573
2020,1.91485,6.75,27,323,63,0,14,0,1,2,0,0,0,1,0,0,0,0,0,0,13.938125
2021,1.7127,9.66666666666667,29,256,32,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,13.8996333333333
2022,2.27915,15.5,31,147,53,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,37.95645
2023,1.90703333333333,5.66666666666667,17,246,54,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,10.7487
2024,1.02995,5,10,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5.1498
2025,1.6375,12.5,25,164,36,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22.1611
2026,1.6269,12.6666666666667,38,241,54,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,23.0272333333333
2027,2.1435,5,5,80,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.7173
2028,2.0876,9,27,218,76,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16.8050666666667
2029,2.05832,16.2,81,410,87,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,35.15122
2030,2.4958,17.6666666666667,53,204,69,0,18,0,1,1,0,0,0,1,0,0,0,0,0,0,39.4598666666667
2031,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2032,2.05325,8.5,34,328,72,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,20.78585
2033,2.44365,7,28,272,128,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,17.373075
2034,2.18163333333333,9,27,211,89,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,23.0663
2035,2.52463333333333,17,51,232,65,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,46.3087333333333
2036,1.79703333333333,6,18,271,29,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,11.244
2037,1.3806,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.6643
2038,3.60705,32.5,65,85,88,0,15,0,1,0,0,0,0,1,0,0,0,0,0,0,115.56645
2039,1.26303333333333,8.33333333333333,25,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,11.2601333333333
2040,1.84176,6.8,34,374,126,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,12.3395
2041,2.9387,15,45,171,116,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,41.4266
2042,2.147525,11.25,45,340,60,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,28.242
2043,2.823625,6,24,293,93,0,14,0,1,3,0,0,0,0,0,0,0,0,0,0,17.46435
2044,3.055575,24,96,260,128,0,5,0,1,1,0,0,1,1,0,0,0,0,0,0,74.595175
2045,2.4367,14.5,58,290,89,0,12,0,1,3,0,0,0,0,0,0,0,0,0,0,36.12325
2046,2.77125,8.75,35,296,92,0,12,0,1,3,0,0,0,0,0,0,0,0,0,0,26.83335
2047,3.320025,14.5,58,204,170,0,23,0,0,2,0,0,1,1,0,0,0,0,0,0,45.64665
2048,2.55616666666667,13.6666666666667,41,220,72,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,36.5136
2049,3.21998333333333,31.3333333333333,188,322,250,1,25,0,2,2,0,0,1,0,0,0,0,1,0,0,98.54975
2050,3.10375,11.5,23,132,68,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,34.9703
2051,2.76606,23.8,119,338,129,1,21,0,2,2,0,0,0,1,0,0,0,0,0,0,61.12548
2052,2.939,56,112,122,72,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,162.22925
2053,3.14796666666667,69.3333333333333,208,138,133,5,14,0,1,1,0,0,0,0,0,0,0,1,0,0,196.139533333333
2054,3.3626,29.6666666666667,89,123,153,0,11,0,0,2,0,0,1,0,0,0,0,0,0,0,96.6871666666667
2055,3.2028,10.2,51,313,187,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,33.06796
2056,3.5229,58,116,88,97,0,13,0,0,1,0,0,0,1,0,0,0,0,0,0,190.16895
2057,2.8279,9.25,37,279,109,0,12,0,0,3,0,0,1,0,0,0,0,0,0,0,29.0865
2058,3.484525,87,348,185,155,35,16,0,1,1,0,0,1,0,0,0,0,0,0,1,375.42705
2059,3.6291,9.66666666666667,29,158,126,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,30.5921666666667
2060,3.6945,13,26,101,92,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,48.33685
2061,2.42375,45,180,302,76,3,12,0,0,2,0,0,1,1,0,0,0,0,0,0,131.713275
2062,2.67773333333333,22.6666666666667,68,215,56,3,22,0,1,2,0,0,0,0,0,0,0,0,0,0,79.0528666666667
2063,3.212475,42.25,169,258,118,0,24,0,2,1,0,0,0,1,0,0,0,0,0,0,147.2383
2064,4.3518,354,354,24,33,29,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1540.5237
2065,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2066,3.0159,37,74,128,62,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,118.41475
2067,3.18478,9.2,46,293,181,0,26,0,2,2,0,0,1,0,0,0,0,0,0,0,33.85914
2068,2.30796666666667,11.3333333333333,34,237,50,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,24.5016666666667
2069,2.7114,30,30,60,27,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,81.3406
2070,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2071,4.895,50,150,79,186,1,32,0,1,1,0,0,0,1,0,0,0,0,0,0,181.324666666667
2072,3.24893333333333,65,195,170,106,1,19,0,0,1,0,0,1,1,0,0,0,0,0,0,261.965666666667
2073,3.3757,11,11,55,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37.1323
2074,3.7317,206,206,30,43,10,16,0,0,0,0,0,0,0,0,0,0,1,0,0,768.7363
2075,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2076,2.6626,21.5,43,130,62,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,69.8514
2077,4.9208,172,172,21,45,10,23,0,0,0,0,0,0,1,0,0,0,0,0,0,846.382
2078,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2079,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2080,3.938375,9,36,203,161,0,35,0,1,3,0,0,0,0,0,0,0,0,0,0,40.259625
2081,1.29,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.7398
